#ST-Typ;Wert;Beschreibung
ST_Einkommensart;1;Einkünfte aus Land- und Forstwirtschaft
ST_Einkommensart;2;Einkünfte aus Gewerbebetrieb
ST_Einkommensart;3;Einkünfte aus selbstständiger Arbeit
ST_Einkommensart;4;Einkünfte aus nichtselbstständiger Arbeit
ST_Einkommensart;5;Einkünfte aus Kapitalvermögen
ST_Einkommensart;6;Einkünfte aus Vermietung und Verpachtung
ST_Einkommensart;7;Sonstige Einkünfte
ST_Einkommensart;7a;wiederkehrende Bezüge (z.B. Renten)
ST_Einkommensart;7b;Unterhaltsleistungen Geschiedener und getrennt Lebender
ST_Einkommensart;7c;Spekulationsgeschäfte
ST_Einkommensart;7d;Leistungen (z.B. gelegentliche Vermietung körperlicher Gegenstände)
ST_Einkommensart;7e;Abgeordnetenbezüge
ST_Elementart;01;Kategorie
ST_Elementart;02;Ueberschrift
ST_Elementart;03;Frage
ST_ErmittlerSchadenkalkulation;1;durch Schadenschnelldienst
ST_ErmittlerSchadenkalkulation;2;durch Schadenaußendienst
ST_ErmittlerSchadenkalkulation;3;durch freien Sachverständigen
ST_ErmittlerSchadenkalkulation;4;durch Handwerker / Werkstatt
ST_Ermittlungsart;abgelesen;
ST_Ermittlungsart;geschaetzt;
ST_Ermittlungsart;angegeben;
ST_ExtranetZielID;001;Hauptmenü
ST_ExtranetZielID;002;Stammdaten
ST_ExtranetZielID;003;Bearbeiten
ST_ExtranetZielID;004;Verträge
ST_ExtranetZielID;005;Dokumente
ST_ExtranetZielID;006;Vorgänge
ST_ExtranetZielID;007;Schäden
ST_ExtranetZielID;008;Inkassostand
ST_ExtranetZielID;009;Angebot
ST_ExtranetZielID;010;Anfrage
ST_ExtranetZielID;011;Schadenmeldung
ST_ExtranetZielID;012;Rückkaufwert
ST_ExtranetZielID;013;Rabattretter
ST_ExtranetZielID;014;Vereinbarungen
ST_ExtranetZielID;015;Produktion
ST_ExtranetZielID;016;Provision
ST_ExtranetZielID;017;Ranking
ST_ExtranetZielID;018;Posteingang
ST_ExtranetZielID;019;Postausgang
ST_ExtranetZielID;020;Störfälle
ST_ExtranetZielID;021;Auswertungen
ST_ExtranetZielID;022;Rundschreiben
ST_ExtranetZielID;023;Bestellen
ST_ExtranetZielID;024;Download
ST_ExtranetZielID;025;Kontakt
ST_ExtranetZielID;026;GDV
ST_ExtranetZielID;027;Partnersuche
ST_ExtranetZielID;028;Vetragsuche
ST_ExtranetZielID;029;Schadensuche
ST_ExtranetZielID;999;sonstige
ST_Fahrerassistenzsystem;001;Antiblockiersystem (ABS)
ST_Fahrerassistenzsystem;002;Tempomat (Geschwindigkeitsregelanlage) in Kraftfahrzeugen, der bei der Regelung den Abstand zu einem vorausfahrenden Fahrzeug als zusätzliche Rückführ- und Stellgröße einbezieht.
ST_Fahrerassistenzsystem;003;Einparkhilfe
ST_Fahrerassistenzsystem;004;Spurwechselassistent
ST_Fahrerassistenzsystem;005;Totwinkel-Überwachung
ST_Fahrerassistenzsystem;006;Spurassistent (warnt den Fahrer eines Fahrzeuges vor dem Verlassen der Fahrspur auf einer Straße)
ST_Fahrerassistenzsystem;007;Abstand-/Bremsassistent (erkennt die Entfernung des Fahrzeugs von Hindernissen und leitet bei zu geringem Abstand eine Geschwindigkeitsreduktion oder Bremsung ein)
ST_Fahrerassistenzsystem;008;Nachtsichtassistent (ein optisches System, das Kraftfahrzeugführern eine größere Sichtweite in der Dunkelheit bietet)
ST_Fahrerassistenzsystem;009;Head-up-Display (ein Anzeigesystem, bei dem der Nutzer seine Kopfhaltung bzw. Blickrichtung beibehalten kann, weil die Informationen in sein Sichtfeld projiziert werden)
ST_Fahrerassistenzsystem;010;Fahrstabilitäts-System (z.B. ESP)
ST_Fahrerassistenzsystem;011;Antischlupfregelung (ASR)
ST_Fahrerassistenzsystem;012;Rückfahrkamera
ST_Fahrgebiet;00;keine Angabe
ST_Fahrgebiet;01;Inland, überwiegend bis 100 km Umkreis
ST_Fahrgebiet;02;ausschließlich im Inland
ST_Fahrgebiet;03;In- und Ausland
ST_Fahrgebiet;04;In- und Ausland innerhalb der EU
ST_Fahrgebiet;99;unbekannt / sonstige
ST_Fahrzeugart;1;Zwei- oder dreiraedriges oder leichtes vierraedriges Kraftfahrzeug
ST_Fahrzeugart;2;Personenkraftwagen
ST_Fahrzeugart;3;Kraftomnibus
ST_Fahrzeugart;4;Lastkraftwagen
ST_Fahrzeugart;5;Zugmaschine
ST_Fahrzeugart;6;Selbstfahrende Arbeitsmaschine
ST_Fahrzeugart;7;Anhaenger
ST_Fahrzeugart;8;sonstiges Kraftfahrzeug
ST_Fahrzeugdachart;0;geschlossen
ST_Fahrzeugdachart;1;manuelles Schiebedach
ST_Fahrzeugdachart;2;elektrisches Schiebedach
ST_Fahrzeugdachart;3;manuelles Faltdach
ST_Fahrzeugdachart;4;elektrisches Faltdach
ST_Fahrzeugdachart;5;Hardtop
ST_Familienstand;1;ledig
ST_Familienstand;2;verheiratet
ST_Familienstand;3;geschieden
ST_Familienstand;4;verwitwet
ST_Familienstand;5;getrennt lebend
ST_Familienstand;6;eheähnliche Gemeinschaft
ST_Familienstand;7;eingetragene Lebenspartnerschaft
ST_Familienstand;9;sonstiges
ST_Felgenart;1;Stahlfelgen
ST_Felgenart;2;Leichtmetallfelgen
ST_Felgenart;3;verchromte Felgen
ST_Felgenart;9;Sonstige Felgen
ST_Fenstergriffe;1;Fenstergriffe abgeschlossen
ST_Fenstergriffe;2;Fenstergriffe nicht abgeschlossen
ST_Fenstergriffe;3;keine abschließbaren Fenstergriffe vorhanden
ST_Fensterstellung;1;geschlossen
ST_Fensterstellung;2;offen
ST_Fensterstellung;3;in Kippstellung
ST_Feuerschaden;1;Feuererscheinung
ST_Feuerschaden;2;Wärme
ST_Feuerschaden;3;Glut
ST_Feuerschaden;4;Rauch/Ruß
ST_FinanzierungDerZusage;1;Rückdeckungsversicherung
ST_FinanzierungDerZusage;2;Rückdeckungsversicherung partiell
ST_FinanzierungDerZusage;3;Rückdeckungsversicherung kongruent
ST_FinanzierungDerZusage;4;Pensionsfonds
ST_Foerderungsberechtigung;selbst;Antragsteller ist selbst foerderungsberechtigt
ST_Foerderungsberechtigung;partner;Antragsteller ist ueber Ehepartner foerderungsberechtigt
ST_Foerderungsberechtigung;keine;Antragsteller ist nicht foerderungsberechtigt
ST_Fremdversicherungsart;1;Vorversicherung
ST_Fremdversicherungsart;2;Nebenversicherung
ST_Fremdversicherungsart;3;Referenzvertrag
ST_Fremdversicherungsart;4;Grundvertrag bei Excedentenabschluss
ST_Fremdversicherungsart;5;sonstiger anzurechnender Vertrag
ST_Fremdversicherungsart;6;abgelehnter Antrag
ST_Fremdversicherungsart;7;Erstfahrzeug
ST_Fuehrerscheinklasse;A;
ST_Fuehrerscheinklasse;A1;
ST_Fuehrerscheinklasse;B;
ST_Fuehrerscheinklasse;BE;
ST_Fuehrerscheinklasse;C1;
ST_Fuehrerscheinklasse;C1E;
ST_Fuehrerscheinklasse;C;
ST_Fuehrerscheinklasse;CE;
ST_Fuehrerscheinklasse;D1;
ST_Fuehrerscheinklasse;D1E;
ST_Fuehrerscheinklasse;D;
ST_Fuehrerscheinklasse;DE;
ST_Fuehrerscheinklasse;L;
ST_Fuehrerscheinklasse;M;
ST_Fuehrerscheinklasse;Mofa;
ST_Fuehrerscheinklasse;S;
ST_Fuehrerscheinklasse;T;
ST_Fuehrerscheinklasse;1;
ST_Fuehrerscheinklasse;1a;
ST_Fuehrerscheinklasse;1b;
ST_Fuehrerscheinklasse;2;
ST_Fuehrerscheinklasse;3;
ST_Fuehrerscheinklasse;4;
ST_Fuehrerscheinklasse;5;
ST_GarantiezeitArt;min;
ST_GarantiezeitArt;max;
ST_Gebaeudeart;001;Hauptgebäude
ST_Gebaeudeart;002;Nebengebäude
ST_Gebaeudeart;003;Garage
ST_Gebaeudeart;004;Carport
ST_Gebaeudeart;005;Gartenhaus
ST_Gebaeudeart;006;Scheune
ST_Gebaeudeart;900;Einfamilienhaus, DARF NICHT für TAA genutzt werden.
ST_Gebaeudeart;901;Mehrfamilienhaus, DARF NICHT für TAA genutzt werden.
ST_Gebaeudeart;999;sonstiger Gebäudeteil gemäß Beschreibung
ST_Gebaeudeeigentum;01;Allein-Eigentum
ST_Gebaeudeeigentum;02;Teil-Eigentum
ST_Gebaeudeeigentum;03;Eigentumsgemeinschaft
ST_Gebaeudeeigentum;04;Miete
ST_Gebaeudeeigentum;05;Nießbrauch
ST_Gebaeudeeinheit;01;Wohnung
ST_Gebaeudeeinheit;02;Gewerbeeinheit
ST_Gebaeudeeinheit;03;Einliegerwohnung
ST_Gebaeudeeinheit;04;Garage / Abstellplatz
ST_Gebaeudeeinheit;05;Bootsliegeplatz
ST_Gebaeudeeinheit;06;Einfamilienhaus
ST_Gebaeudeoeffnung;1;Gebäudeschädigung
ST_Gebaeudeoeffnung;2;gekipptes Fenster
ST_Gebaeudeoeffnung;3;offenes Fenster
ST_Gebaeudeoeffnung;4;gekippte Tür
ST_Gebaeudeoeffnung;5;offene Tür
ST_Gebaeudewertermittlung;01;Wertermittlungsbogen
ST_Gebaeudewertermittlung;02;Gutachten
ST_Gebaeudewertermittlung;03;Kaufpreis
ST_Gebaeudewertermittlung;04;Brandkasse
ST_Gebaeudewertermittlung;05;Umrechnung des Gebäudeneubauwertes
ST_Gebaeudewertermittlung;99;Sonstige
ST_Gebuehrengrundlage;01;Rechtsanwaltsvergütungsgesetz Fassung 01.07.2004
ST_Gebuehrengrundlage;02;Rechtsanwaltsvergütungsgesetz Fassung 01.08.2013
ST_Gefahrengruppe;A;Gefahrengruppe A
ST_Gefahrengruppe;B;Gefahrengruppe B
ST_Gefahrengruppe;E;Einheitsgefahren
ST_Gefahrengruppe;F;Frauen, unabhängig davon welche Berufstätigkeit sie ausüben.
ST_Gefahrengruppe;K;Kind
ST_Gefahrengruppe;S;Senioren
ST_Gefahrengruppe;Z;Freizeitunfallversicherung, bei der die berufliche Tätigkeit nicht versichert ist
ST_Gefahrenzone;000;Tarifzone allgemein
ST_Gefahrenzone;001;Tarifzone Hausrat
ST_Gefahrenzone;002;Tarifzone Wohngebaeude
ST_Gefahrenzone;010;Leitungswasserzone
ST_Gefahrenzone;011;ED-Zone
ST_Gefahrenzone;012;Sturmzone
ST_Gefahrenzone;013;Feuerzone
ST_Gefahrenzone;020;Erdbebenzone
ST_Gefahrenzone;021;Gefaehrdungsklasse Elementar
ST_Gefahrenzone;022;Bach- und Inselzone
ST_Gefahrenzone;030;Fahrradzone
ST_Gefahrenzone;040;Überspannung
ST_Gefahrgut;00;ohne Angabe
ST_Gefahrgut;01;kein Gefahrgut
ST_Gefahrgut;02;Gefahrguttransport ohne Genehmigungspflicht
ST_Gefahrgut;03;Gefahrguttransport mit Genehmigungspflicht
ST_Gefahrgut;04;Beförderung von Treibstoff und leichtem Heizöl
ST_Gefahrgut;99;sonstige Gefahrguttransporte
ST_Geltungsbereich;1;Inland
ST_Geltungsbereich;2;Ausland (Europa und Mittelmeerstaaten)
ST_Geltungsbereich;3;Europa und Mittelmeerstaaten
ST_Geltungsbereich;4;Ausland (weltweit)
ST_Geltungsbereich;5;Weltweit
ST_Gerichtstyp;01;Finanzgericht
ST_Gerichtstyp;02;Verwaltungsgericht
ST_Geschlecht;1;maennlich
ST_Geschlecht;2;weiblich
ST_Getriebeart;0;ohne Getriebe
ST_Getriebeart;1;Schaltgetriebe
ST_Getriebeart;2;automatisches Getriebe
ST_Getriebeart;3;sequentielles Getriebe (z.B. Tiptronic)
ST_Getriebeart;9;sonstige
ST_GewerblichPrivat;1;gewerblich
ST_GewerblichPrivat;2;privat
ST_Glasrisiko;01;Einfamilienhaus ohne Einliegerwohnung
ST_Glasrisiko;02;Einfamilienhaus mit Einliegerwohnung
ST_Glasrisiko;03;Mietwohnung
ST_Glasrisiko;04;Wohnung moebliert vermietet
ST_Glasrisiko;05;Mehrfamilienhaus
ST_Glasrisiko;06;Wohngebaeude
ST_Glasrisiko;07;Geschaeftsgebaeude
ST_Glasrisiko;08;Wohn- / Geschaeftsgebaeude
ST_Glasrisiko;09;Buerogebaeude
ST_Glasrisiko;10;Geschaefts- / Buerobetrieb
ST_Glasrisiko;11;Industriebau
ST_Glasrisiko;12;Glas - Keramik
ST_Glasrisiko;13;Aquarium
ST_Glasrisiko;14;Ganzglaskonstruktion
ST_Glasrisiko;15;Werbeanlagen
ST_Glasrisiko;16;Kunststoff
ST_Glasrisiko;17;Inhalt
ST_Glasrisiko;99;Sonstiges
ST_Grundstueckart;UnbebautesGrundstueck;unbebautes Grundstück
ST_Grundstueckart;LandwirtschaftlichesGrundstueck;landwirtschaftliches Grundstück
ST_Grundstueckart;Gewerbegrundstueck;Gewerbegrundstück
ST_Grundstueckart;Bootsliegeplatz;
ST_GruppenvertragspartnerStatus;01;bereits Mitglied
ST_GruppenvertragspartnerStatus;02;neues Mitglied
ST_Haftungsgrundlage;01;ADSp (Allgemeine Deutsche Spediteurbedingungen)
ST_Haftungsgrundlage;02;ADSp Lager (Allgemeine Deutsche Spediteurbedingungen Lager)
ST_Haftungsgrundlage;03;AGB (Allgemeine Geschäftsbedingungen)
ST_Haftungsgrundlage;04;ALB (Allgemeine Lagerbedingungen des Deutschen Möbeltransports)
ST_Haftungsgrundlage;05;BSK (Allgemeine Geschäftsbedingungen der Bundesfachgruppe Schwertransporte und Kranarbeiten (AGB-BSK Kran und Transport))
ST_Haftungsgrundlage;06;CIM (Übereinkommen über den internationalen Eisenbahnverkehr)
ST_Haftungsgrundlage;07;CMNI (Budapester Übereinkommens über den Vertrag über die Güterbeförderung in der Binnenschifffahrt)
ST_Haftungsgrundlage;08;CMR (Übereinkommens über den Beförderungsvertrag im internationalen Straßengüterverkehr)
ST_Haftungsgrundlage;09;HGB bis 40 SZR/kg (Vierter Abschnitt Frachtgeschäft Handelsgesetzbuch § 449 Abweichende Vereinbarungen über die Haftung)
ST_Haftungsgrundlage;10;HGB bis 8,33 SZR/kg (Vierter Abschnitt Frachtgeschäft Handelsgesetzbuch § 431 Haftungshöchstbetrag)
ST_Haftungsgrundlage;11;HGB Lager (Sechster Abschnitt Lagergeschäft Handelsgesetzbuch § 475 Haftung für Verlust oder Beschädigung)
ST_Haftungsgrundlage;12;HGB Sonstige (Fünfter Abschnitt Speditionsgeschäft Handelsgesetzbuch § 461 Haftung des Spediteurs)
ST_Haftungsgrundlage;13;HGB Umzug (Vierter Abschnitt Frachtgeschäft Handelsgesetzbuch Beförderung von Umzugsgut § 451e Haftungshöchstbetrag)
ST_Haftungsgrundlage;14;MÜ (Montrealer Übereinkommen)
ST_Haftungsgrundlage;15;Multimodal (Vierter Abschnitt Frachtgeschäft Handelsgesetzbuch Beförderung mit verschiedenartigen Beförderungsmitteln § 452)
ST_Haftungsgrundlage;16;NSAB (Allgemeinen Bestimmungen des Nordischen Spediteurverbands)
ST_Haftungsgrundlage;17;Seerecht (Haager Regeln, Hague Visby Rules, Hamburg – Regeln sowie anderer maßgeblicher internationaler Abkommen oder nationaler gesetzlicher Bestimmungen für den Seeverkehr)
ST_Haftungsgrundlage;18;VBGL (Vertragsbedingungen für den Güterkraftverkehrs-, Speditions- und Logistikunternehmer)
ST_Haftungsgrundlage;19;Vertragliche Vereinbarung (Vertragliche- bzw. Individualvereinbarungen)
ST_Haftungsgrundlage;20;WA (Warschauer Abkommen)
ST_Haftungsgrundlage;21;BGB (Bürgerliches Gesetzbuch)
ST_Haftungsgrundlage;99;Sonstige Haftungsgrundlage
ST_Herkunft;01;Einzahlung
ST_Herkunft;02;Einzahlung aus Umschichtung
ST_Herkunft;03;Auszahlung
ST_Herkunft;04;Auszahlung zur Umschichtung
ST_Herkunft;05;Ausschüttung
ST_Herkunft;06;Zinsen
ST_Herkunft;07;Gebühr
ST_Herkunft;08;Steuer
ST_HistorischerVerlauf;01;Altbestandskunde im eigenen VU
ST_HistorischerVerlauf;02;Versicherter im Basistaif aus VU-Wechsel soweit kein Altbestandskunde
ST_Incoterms;EXW;Ex Works / Ab Werk
ST_Incoterms;FCA;Free Carrier / Frei Frachtführer
ST_Incoterms;CPT;Carriage Paid To / Frachtfrei
ST_Incoterms;CIP;Carriage and Insurance Paid to / Frachtfrei versichert
ST_Incoterms;DAT;Delivered At Terminal / Geliefert Terminal
ST_Incoterms;DAP;Delivered At Place / Geliefert benannter Ort
ST_Incoterms;DDP;Delivered Duty Paid / Geliefert verzollt
ST_Incoterms;FAS;Free Alongside Ship / Frei Längsseite Schiff
ST_Incoterms;FOB;Free On Board / Frei an Bord
ST_Incoterms;CFR;Cost and Freight / Kosten und Fracht
ST_Incoterms;CIF;Cost, Insurance and Freight / Kosten, Versicherung und Fracht
ST_Informationsart;01;GrunddatenVertrag: skalare Vertragsdaten auf Vertrags- und Tarifebene, keine Stichtagswerte und keine Verläufe.
ST_Informationsart;02;Beitragsverlauf: kompletter Verlauf der vergangenen Beiträge.
ST_Informationsart;03;InkassoExkasso: aktuelle Bankdaten und Beitragsrückstände.
ST_Informationsart;04;Stichtagswerte: Aktuelle Stichtagswerte, d.h. maximal 5 Werktage zurückliegend. DARF NUR in der Sparte Leben verwendet werden.
ST_Informationsart;05;BeispielModellrechnung: Modellrechnung nach §154 VVG und/oder Beispielrechnung für hochgerechnete Ablaufleistungen. DARF NUR in der Sparte Leben verwendet werden.
ST_Informationsart;06;Fondskurse: aktuelle Fondskurse, d.h. Schlusskurs des letzten Börsentags. DARF NUR in der Sparte Leben verwendet werden.
ST_Inkassoart;1;Vermittlerinkasso
ST_Inkassoart;2;Zentralinkasso, Direktes Inkasso
ST_Inkassotextart;1;Veränderung
ST_Inkassotextart;2;Werbung
ST_Inkassotextart;3;Information
ST_InvestmentTransaktionsart;Kauf;Kauf eines Investments
ST_InvestmentTransaktionsart;Verkauf;Verkauf eines Investments
ST_InvestmentTransaktionsart;Einlieferung;Einlieferung eines Investments in ein Depot
ST_InvestmentTransaktionsart;Auslieferung;Auslieferung eines Investments aus einem Depot
ST_JaNeinKeineAntwort;0;Ja
ST_JaNeinKeineAntwort;1;Nein
ST_JaNeinKeineAntwort;2;KeineAntwort
ST_JaNeinKeineAntwort;3;Unbekannt
ST_JaNeinKeineAntwort;4;Vermutlich ja
ST_Kalkulationsart;0;Schätzung
ST_Kalkulationsart;1;Detaillierte Kalkulation
ST_Kalkulationsart;2;Reparaturrechnung
ST_Kalkulationsart;3;Kostenvoranschlag
ST_Kalkulationsart;4;Glasreparatur (kein Austausch)
ST_Kalkulationsart;5;Gutachten
ST_Kalkulationsart;6;Prüfergebnis
ST_Kalkulationsart;7;Glasersatz (Austausch)
ST_Kapitalanlageart;01;Darlehen
ST_Kapitalanlageart;02;Depot
ST_Kapitalanlageart;03;Geschäftsanteile
ST_Kapitalanlageart;04;Kontokorrent
ST_Kapitalanlageart;05;Spar
ST_Kapitalanlageart;06;Termineinlage Festgeld
ST_Kapitalanlageart;07;Termineinlage Sparbrief
ST_Kennzeichenart;A;Ausfuhrkennzeichen
ST_Kennzeichenart;B;Behoerdenkennzeichen
ST_Kennzeichenart;BS;behoerdliches Saisonkennzeichen
ST_Kennzeichenart;R;Rotes Kennzeichen
ST_Kennzeichenart;RK;Kurzzeitkennzeichen
ST_Kennzeichenart;V;Versicherungskennzeichen
ST_Kennzeichenart;VR;Rotes Versicherungskennzeichen
ST_Kennzeichenart;Z;Amtliches Kennzeichen
ST_Kennzeichenart;ZS;Amtliches Saisonkennzeichen
ST_Kommunikationstyp;10;Telefonnummer privat
ST_Kommunikationstyp;20;Telefonnummer geschäftlich
ST_Kommunikationstyp;30;Telefonnummer mobil
ST_Kommunikationstyp;31;Telefonnummer mobil privat
ST_Kommunikationstyp;32;Telefonnummer mobil geschäftlich
ST_Kommunikationstyp;40;Telefax
ST_Kommunikationstyp;41;Telefax privat
ST_Kommunikationstyp;42;Telefax geschäftlich
ST_Kommunikationstyp;50;E-Mail
ST_Kommunikationstyp;51;E-Mail privat
ST_Kommunikationstyp;52;E-Mail geschäftlich
ST_Kommunikationstyp;60;Website
ST_Kommunikationstyp;61;Website privat
ST_Kommunikationstyp;62;Website geschäftlich
ST_Kommunikationstyp;70;Online-Dienst
ST_Kommunikationstyp;71;Online-Dienst privat
ST_Kommunikationstyp;72;Online-Dienst geschäftlich
ST_Komprimierungstyp;ZIP;ZIP
ST_Komprimierungstyp;KEINE;Keine Komprimierung
ST_Konstruktionsteil;01;Bedachung
ST_Konstruktionsteil;02;Decke
ST_Konstruktionsteil;03;Deckenverkleidung
ST_Konstruktionsteil;04;Wand
ST_Konstruktionsteil;05;Wandverkleidung
ST_Konstruktionsteil;06;Unterboden
ST_Konstruktionsteil;07;Bodenbelag
ST_KrankenTarifart;01;Krankenvollversicherung - Kompakttarife (ambulant, stationär, Zahn)
ST_KrankenTarifart;02;Ambulant (Vollversicherung)
ST_KrankenTarifart;03;Stationär (Vollversicherung)
ST_KrankenTarifart;04;Zahn (Vollversicherung)
ST_KrankenTarifart;05;Krankentagegeld
ST_KrankenTarifart;06;Krankenhaustagegeld
ST_KrankenTarifart;07;Kurversicherung
ST_KrankenTarifart;08;Stationäre Zusatzversicherung zur gesetzlichen KV
ST_KrankenTarifart;09;Ergänzungsversicherung zur gesetzlichen KV
ST_KrankenTarifart;10;Auslandskrankenversicherung
ST_KrankenTarifart;11;Pflegepflichtversicherung
ST_KrankenTarifart;12;Pflegezusatzversicherung
ST_KrankenTarifart;13;Optionstarif
ST_KrankenTarifart;14;Zusätze zur Vollversicherung, die sich eindeutig anderen Bereichen zuordnen lassen (z.B. Kombination aus Erweiterung der GOÄ, Auslandsgeltung und zusätzliche Heilpraktikerleistung)
ST_KrankenTarifart;15;Sonst. KV (wenn keine andere Zuordnung möglich ist)
ST_KrankenTarifart;16;Gesetzlicher Zuschlag
ST_KrankenTarifart;17;Gruppenversicherung Ausland
ST_KrankenTarifart;18;GKV pflichtversichert
ST_KrankenTarifart;19;Zahnersatzversicherung PKV
ST_KrankenTarifart;20;Zahnzusatztarif
ST_KrankenTarifart;21;ambulanter Zusatztarif
ST_KrankenTarifart;22;GKV freiwillig versichert
ST_KrankenTarifart;23;Beitragsentlastungstarif
ST_KrankenTarifart;24;Gesetzlicher Zuschlag in der Leistungsphase
ST_KrankenTarifart;25;Beitragsentlastungstarif in der Leistungsphase
ST_KrankenTarifart;26;Tarifbonus Beitragsanpassung ( zeitlich befristeter Tarifbonus der zur Limitierung einer Beitragsanpassung gewährt wird.)
ST_KrankenTarifart;27;Incomingtarife für ausländische Gäste in Deutschland
ST_KrankenVersicherungsschutz;1;Vollversicherung
ST_KrankenVersicherungsschutz;2;Zusatzversicherung
ST_KrankenVersicherungsschutz;3;Sonstiges
ST_KrankenVorversicherungsschutz;01;gesetzlich freiwillig krankenversichert
ST_KrankenVorversicherungsschutz;02;gesetzlich pflichtig krankenversichert
ST_KrankenVorversicherungsschutz;03;gesetzlich krankenversichert (ohne nähere Zuordnung)
ST_KrankenVorversicherungsschutz;04;privat krankenversichert
ST_KrankenVorversicherungsschutz;05;freie Heilfürsorge
ST_KrankenVorversicherungsschutz;06;ausländisch gesetzlich krankenversichert
ST_KrankenVorversicherungsschutz;07;ausländisch privat krankenversichert
ST_KrankenVorversicherungsschutz;99;keine Vorversicherung
ST_Laenderkennzeichen;997;Mehrstaaten
ST_Laenderkennzeichen;998;Sonstige
ST_Laenderkennzeichen;999;unbekannt
ST_Laenderkennzeichen;A;Österreich
ST_Laenderkennzeichen;AFG;Afghanistan
ST_Laenderkennzeichen;AL;Albanien
ST_Laenderkennzeichen;AND;Andorra
ST_Laenderkennzeichen;AM;Armenien
ST_Laenderkennzeichen;AUS;Australien
ST_Laenderkennzeichen;AZ;Aserbaidschan
ST_Laenderkennzeichen;B;Belgien
ST_Laenderkennzeichen;BD;Bangladesch
ST_Laenderkennzeichen;BDS;Barbados
ST_Laenderkennzeichen;BF;Burkina Faso
ST_Laenderkennzeichen;BG;Bulgarien
ST_Laenderkennzeichen;BIH;Bosnien und Herzegowina
ST_Laenderkennzeichen;DY;Benin
ST_Laenderkennzeichen;BOL;Bolivien
ST_Laenderkennzeichen;BR;Brasilien
ST_Laenderkennzeichen;BRN;Bahrain
ST_Laenderkennzeichen;BRU;Brunei
ST_Laenderkennzeichen;BS;Bahamas
ST_Laenderkennzeichen;BY;Weißrussland
ST_Laenderkennzeichen;BH;Belize
ST_Laenderkennzeichen;BW;Botswana
ST_Laenderkennzeichen;BVI;Jungferninseln
ST_Laenderkennzeichen;CU;Kuba
ST_Laenderkennzeichen;CAM;Kamerun
ST_Laenderkennzeichen;CDN;Kanada
ST_Laenderkennzeichen;ZRE;Demokratische Republik Kongo
ST_Laenderkennzeichen;CH;Schweiz
ST_Laenderkennzeichen;CI;Elfenbeinküste
ST_Laenderkennzeichen;CL;Sri Lanka
ST_Laenderkennzeichen;CO;Kolumbien
ST_Laenderkennzeichen;CR;Costa Rica
ST_Laenderkennzeichen;CY;Zypern
ST_Laenderkennzeichen;CZ;Tschechien
ST_Laenderkennzeichen;D;Deutschland
ST_Laenderkennzeichen;DK;Dänemark
ST_Laenderkennzeichen;DOM;Dominikanische Republik
ST_Laenderkennzeichen;DZ;Algerien
ST_Laenderkennzeichen;E;Spanien
ST_Laenderkennzeichen;EAK;Kenia
ST_Laenderkennzeichen;EAT;Tansania
ST_Laenderkennzeichen;EAZ;Sansibar
ST_Laenderkennzeichen;EAU;Uganda
ST_Laenderkennzeichen;EC;Ecuador
ST_Laenderkennzeichen;ER;Eritrea
ST_Laenderkennzeichen;ES;El Salvador
ST_Laenderkennzeichen;EST;Estland
ST_Laenderkennzeichen;ET;Ägypten
ST_Laenderkennzeichen;ETH;Äthiopien
ST_Laenderkennzeichen;F;Frankreich
ST_Laenderkennzeichen;FIN;Finnland
ST_Laenderkennzeichen;FJI;Fidschi
ST_Laenderkennzeichen;FL;Liechtenstein
ST_Laenderkennzeichen;FR;Färöer
ST_Laenderkennzeichen;G;Gabun
ST_Laenderkennzeichen;GB;Vereinigtes Königreich
ST_Laenderkennzeichen;GBA;Alderney
ST_Laenderkennzeichen;GBG;Guernsey
ST_Laenderkennzeichen;GBJ;Jersey
ST_Laenderkennzeichen;GBM;Insel Man
ST_Laenderkennzeichen;GBZ;Gibraltar
ST_Laenderkennzeichen;GCA;Guatemala
ST_Laenderkennzeichen;GE;Georgien
ST_Laenderkennzeichen;GH;Ghana
ST_Laenderkennzeichen;GR;Griechenland
ST_Laenderkennzeichen;GUY;Guyana
ST_Laenderkennzeichen;H;Ungarn
ST_Laenderkennzeichen;HR;Kroatien
ST_Laenderkennzeichen;HKJ;Jordanien
ST_Laenderkennzeichen;HN;Honduras
ST_Laenderkennzeichen;I;Italien
ST_Laenderkennzeichen;IL;Israel
ST_Laenderkennzeichen;IND;Indien
ST_Laenderkennzeichen;IR;Iran
ST_Laenderkennzeichen;IRL;Irland
ST_Laenderkennzeichen;IRQ;Irak
ST_Laenderkennzeichen;IS;Island
ST_Laenderkennzeichen;J;Japan
ST_Laenderkennzeichen;JA;Jamaika
ST_Laenderkennzeichen;K;Kambodscha
ST_Laenderkennzeichen;KP;Nordkorea
ST_Laenderkennzeichen;KS;Kirgisistan
ST_Laenderkennzeichen;KWT;Kuwait
ST_Laenderkennzeichen;KZ;Kasachstan
ST_Laenderkennzeichen;L;Luxemburg
ST_Laenderkennzeichen;LAO;Laos
ST_Laenderkennzeichen;LAR;Libyen
ST_Laenderkennzeichen;LB;Liberia
ST_Laenderkennzeichen;LS;Lesotho
ST_Laenderkennzeichen;LT;Litauen
ST_Laenderkennzeichen;LV;Lettland
ST_Laenderkennzeichen;M;Malta
ST_Laenderkennzeichen;MA;Marokko
